NPAID	SMILES
NPA013472	[B-]123O[C@]45O[C@H](C(C(=O)C[C@H](CC/C=C\C[C@@H](OC(=O)C(O1)[C@]6(O2)O[C@H](C(C(=O)C[C@H](CC/C=C\C[C@@H](OC(=O)C4O3)CC)O)(C)C)CC[C@H]6C)CC)O)(C)C)CC[C@H]5C
NPA016433	CC1CC23C(/C=C/C=C(/C(C4C(OC5(C4=O)CC(C(=CC5(/C=C/C(C6C(OC7(C6=O)CC(C(=CC7(/C=C/C=C(/C(C8C(OC9(C8=O)CC(C(=CC9(/C=C/C(C(C2=O)C(O3)[O-])O)C)C=O)C)[O-])O)\C)C)CO[C@@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)C)[O-])O)C)C=O)C)[O-])O)\C)C=C1CO[C@@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O
NPA020024	[B-]123O[C@H]4C(=O)O[C@H]5C[C@@H](CCC[C@H](C([C@@H]6CC[C@H]([C@@](O1)(O6)C(O2)C(=O)O[C@@H](C/C=C\CC[C@@H](C([C@@H]7CC[C@H]([C@@]4(O3)O7)C)(C)C)O)[C@@H](C)OC(=O)C(C(C)C)N)C)(C)C)O)O[C@@H]5C
NPA020336	CC1=NC(=C(N(C1=O)O)CC2=CNC3=C2C=CC=C3/C=C/C(=C)C)OC.CC1=NC(=C(N(C1=O)O)CC2=CNC3=C2C=CC=C3/C=C/C(=C)C)OC.CC1=NC(=C(N(C1=O)O)CC2=CNC3=C2C=CC=C3/C=C/C(=C)C)OC.[Fe]
NPA020386	CC1=NC(=C(N(C1=O)O)CC2=CNC3=C2C=CC=C3CC=C(C)C)OC.CC1=NC(=C(N(C1=O)O)CC2=CNC3=C2C=CC=C3CC=C(C)C)OC.CC1=NC(=C(N(C1=O)O)CC2=CNC3=C2C=CC=C3CC=C(C)C)OC.[Fe]
NPA020565	C=CC1=CC=C(C=C1)OC(=O)C2=CC(=C(C=C2)O)N=O.C=CC1=CC=C(C=C1)OC(=O)C2=CC(=C(C=C2)O)N=O.C1=CC(=CC=C1/C=C\C(=O)O)OC(=O)C2=CC(=C(C=C2)O)N=O.[Fe+2]
NPA020566	C=CC1=CC=C(C=C1)OC(=O)C2=CC(=C(C=C2)O)N=O.C=CC1=CC=C(C=C1)OC(=O)C2=CC(=C(C=C2)O)N=O.C1=CC(=CC=C1C=CO)OC(=O)C2=CC(=C(C=C2)O)N=O.[Fe+2]
NPA020576	C1=CC(=CC(=NO)C1O)CO.C1=CC(=CC(=NO)C1O)C=O.C1=CC(=CC(=NO)C1O)C=O.[Fe]
NPA020616	CC1=C(C2=CC3=C(C(=C(N3)C=C4C(=C(C(=N4)C=C5C(=C(C(=N5)C=C1N2)C)CCC(=O)O)C)CCC(=O)O)C)CCC(=O)O)CCC(=O)O.[Zn+2]
NPA020617	CC1CC(C(OC1C2CC(C(O2)C3(CCC(O3)C4(CCC5(O4)CC(C(C(O5)C(C)C6C(C(C(C(O6)(CC(=O)O)O)C)OC7CCC(C(O7)C)OC)OC)C)O)C)C)OC8CCC(C(O8)C)OC)(CO)O)C
NPA020618	CC(C)[C@H]1CC[C@]2(C1=CC[C@@]([C@@H]3[C@H](C[C@H]([C@@H]3C2)CO)O)(C)O)C
NPA020619	CC(C)C[C@]1(C(=O)N[C@@](C(=O)O1)(CC2=CC=CC=C2)O)NC
NPA020620	CC(=O)N[C@@H]1[C@@H]([C@@H]([C@H](N2C1=NC(=C2)CC(=O)O)CO)O)O
NPA020621	C1=CN(C(=O)NC1=S)[C@H]2[C@H]([C@H]([C@@H](O2)CO)O)O
NPA020622	CC[C@]1(CCC2=C(C3=C(C(=C2[C@@H]1O[C@H]4C[C@H]([C@@H]([C@H](O4)C)O[C@@H]5CC[C@H]([C@@H](O5)C)O[C@@H]6CC[C@H]([C@@H](O6)C)O)N(C)C)O)C(=O)C7=C(C3=O)C(=CC=C7)O)O)O[C@H]8C[C@H]([C@H]([C@H](O8)C)O)N(C)C
NPA020623	C[C@H]1C/C=C/[C@H]2C=C([C@H]([C@@H]3[C@@]2([C@@H](/C=C/[C@](C1)(C)O)OC(=O)C)C(=O)N[C@H]3CC4=CC=CC=C4)C)CO
NPA020624	CC[C@H](C)[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)NCCCC[C@@H](C(=O)N[C@@H](C(=O)N1)CCCN)NC(=O)[C@@H]([C@H](C)CC)NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)C2=CSC(=N2)C(=O)[C@H](C)CC)CC(=O)N)CC(=O)O)CC3=CN=CN3)CC4=CC=CC=C4
NPA020625	CCCCC/C=C/C=C/C=C/C(C(C)C(C/C=C/C1C(C=CC(=O)O1)O)OS(=O)(=O)O)O
NPA020626	C[C@H]([C@@H](C(=O)O)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C1=C(C(=CC=C1)O)O)O
NPA020627	CCC1C2(C(=O)C(=C(O2)C(CC(C(C(C(C(C(=O)O1)C)OC3CC(C(C(O3)C)O)(C)OC)C)OC4C(C(CC(O4)C)NC)O)(C)O)C)C)C
NPA020628	CCC(C)C1C(=O)N/C=C\SC(C2C(=O)NC(=C)C(=O)NC(C(=O)NC(CSC(C(C(=O)NC(C(=O)N2)CC(C)C)NC(=O)C3CSC(C(C(=O)NC(C(=O)N4CCCC4C(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NC(C(=O)N3)C(C)C)CC(C)C)NC(=O)C(CC5=CC=CC=C5)NC(=O)C6C(SCC(C(=O)N6)N)C)C)C)C(=O)N1)CCC(=O)O)C
NPA020629	CCC1C2(C(=O)C(=C(O2)C(CC(C(C(C(C(C(=O)O1)C)OC3CC(C(C(O3)C)O)(C)O)C)OC4C(C(CC(O4)C)N(C)C)O)(C)O)C)C)C
NPA020630	CC[C@H]1[C@@]2(C(=O)C(=C(O2)[C@H](CC(C([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]3C[C@@]([C@H]([C@@H](O3)C)O)(C)OC)C)O[C@H]4[C@@H]([C@H](CC(O4)C)N(C)C)O)(C)O)C)C)C
NPA020631	CCC[C@@H]1C2=C(C=C(O1)C)C=C3C(=C2O)C(=O)C(=C(C3=O)CC(=O)C)[C@@H]4OC[C@H]([C@@H](O4)CO)O
NPA020632	C[C@@H]1CC23[C@H](/C=C\CCCC[C@@H]4C=C[C@H]5[C@H]([C@@]4(C(=O)OC(=C2O)C(=O)O3)C)CCC[C@@H]5O[C@H]6C([C@H]([C@@H]([C@H](O6)C)O[C@H]7C[C@H]([C@@H]([C@H](O7)C)OC(=O)C8=C(C=CC(=C8C)Cl)O)O)O)O)C=C1C(=O)O
NPA020633	C[C@@H]1CC23[C@H](/C=C\CCCC[C@@H]4C=C[C@H]5[C@H]([C@@]4(C(=O)OC(=C2O)C(=O)O3)C)CCC[C@@H]5O[C@@H]6C[C@H]([C@@H]([C@H](O6)C)O[C@@H]7C[C@H]([C@@H]([C@H](O7)C)OC(=O)C8=C(C=CC(=C8C)Cl)O)O)O)C=C1C(=O)O
NPA020634	C[C@@H]1CC23[C@H](/C=C\CCCC[C@@H]4C=C[C@H]5[C@H]([C@@]4(C(=O)OC(=C2O)C(=O)O3)C)CCC[C@@H]5O[C@H]6C([C@H]([C@@H]([C@H](O6)C)O[C@H]7C[C@H]([C@@H]([C@H](O7)C)O)OC(=O)C8=C(C=CC(=C8C)Cl)O)O)O)C=C1C(=O)O
NPA020635	C[C@@H]1CC23[C@H](/C=C\CCCC[C@@H]4C=C[C@H]5[C@H]([C@@]4(C(=O)OC(=C2O)C(=O)O3)C)CCC[C@@H]5O[C@H]6C[C@H]([C@@H]([C@H](O6)C)O[C@H]7C[C@H]([C@@H]([C@H](O7)C)O)OC(=O)C8=C(C=CC(=C8C)Cl)O)O)C=C1C(=O)O
NPA020636	C[C@]12[C@@H]([C@H](C[C@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)C(=O)NC6=O)NC)OC
NPA020637	CC1=C[C@H]2[C@H](CC1)C(OC3=C2C(=O)C4=CC(=CC(=C4C3=O)O)O)(C)C
NPA020638	CC1CC[C@H](N1C(=O)[C@@H](C(=C)C)NC(=O)[C@H]([C@@H](C)O)NC(=O)C2=C(C(=C(C=C2)C)O)N)C(=O)N(C)CC(=O)N(C)[C@H](C=O)C(C)C
NPA020639	C1=CC(=C(C=C1/C=C/[N+](=O)[O-])O)O
NPA020640	C[C@H]1C(=C([C@H]2C3=CC=CC=C3[C@H]4[C@@]1([C@@]2(C5=CC(=C6C(=C5N4)C(=O)C7=C(C=CC(=C7C6=O)O)O)O)O)O)OC)C(=O)O
NPA020641	C[C@H]1C(=O)[C@H]([C@H]2C3=CC=CC=C3[C@H]4[C@@]1([C@@]2(C5=CC(=C6C(=C5N4)C(=O)C7=C(C=CC(=C7C6=O)O)O)O)O)O)OC
NPA020642	C[C@H]1C(=C([C@H]2C3=CC=CC=C3[C@H]4[C@@]1([C@@]2(C5=CC(=C6C(=C5N4)C(=O)C7=C(C=CC(=C7C6=O)O)O)O)Cl)O)OC)C(=O)O
NPA020643	CC[C@@H]1[C@H]([C@@H](C/C(=C/C=C/[C@@H]([C@@H](OC(=O)/C(=C/C(=C/[C@@H]([C@H]1O)C)/C)/OC)[C@H](C)[C@@H]([C@H](C)[C@]2(C[C@@H]([C@@H]([C@H](O2)C)C)O[C@@H]3C[C@@H]([C@H]([C@H](O3)C)OC(=O)N)O)O)O)OC)/C)C)O
NPA020644	CC[C@H]1[C@@H]([C@H](C/C(=C/C=C/[C@H]([C@H](OC(=O)/C(=C/C(=C/[C@@H]([C@H]1O)C)/C)/OC)[C@H](C)[C@H]([C@@H](C)[C@]2(C[C@H]([C@H]([C@H](O2)C)C)OC(=O)/C=C/C(=O)O)O)O)OC)/C)C)O
NPA020645	C/C=C(\C)/[C@H]([C@@H](C)/C=C(\C)/C=C/C/C(=C/CC1=C(C(=O)C(=C(N1O)OC)OC)C)/C)OC
NPA020646	CCC[C@H]1[C@@H](C(=O)C[C@@H](/C(=C\C)/CC2=C1C(=O)OC2=O)O)O
NPA020647	CC1=C(C(=O)[C@H]2C3=CC=CC=C3[C@H]4[C@@]1([C@@]2(C5=CC(=C6C(=C5N4)C(=O)C7=C(C=CC(=C7C6=O)O)O)O)O)O)O
NPA020648	C[C@H]1C(=O)[C@@H]([C@H]2C3=CC=CC=C3[C@H]4[C@@]1([C@@]2(C5=CC(=C6C(=C5N4)C(=O)C7=C(C=CC(=C7C6=O)O)O)O)O)O)O
NPA020649	C[C@H]1C(=O)[C@@H]([C@H]2C3=C(C=CC=C3O)[C@H]4[C@@]1([C@@]2(C5=CC(=C6C(=C5N4)C(=O)C7=C(C=CC(=C7C6=O)O)O)O)O)O)OC
NPA020650	CC(C)[C@H]1C(=O)N[C@@H](CC2=CNC3=C(C=CC(=C23)N1C)[C@H](C4=CNC5=CC=CC=C54)[C@@H](CO)O)CO
NPA020651	C[C@H]1CC2=C(C(=O)C1)C3=C(C=C2)C(=O)C4=C(C3=O)C=CC=C4O[C@H]5[C@@H]([C@@H]([C@H]([C@H](O5)C)O)O)O
NPA020652	C[C@H]1CC2=CC(=C3C(=C2C(=O)C1)C(=O)C4=C(C3=O)C(=CC=C4)O[C@H]5[C@H]([C@@H]([C@H]([C@@H](O5)C)O)O)O)O
NPA020653	CC[C@@H](C(=O)C(=O)N[C@H](CC(C)C)C(=O)N([C@@H](C(C)C)C(=O)O)C(=O)[C@H](C(C)CC(=O)[C@H](C(C)C)N)N)N
NPA020654	CC1=C2C(=O)C=C(OC2=C3C(=C1)C(=O)C4=C(C3=O)C(=CC=C4)O)C(CO)(C5CO5)O
NPA020655	CC1=CC(=CC2=CC3=C(C(=O)CC[C@H]3O)C(=C12)O)O
NPA020656	CCCCCCCCCC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O[C@@H]2[C@H]3C(=O)NC(C4=CC(=CC(=C4C5=CC(=CC(=C5O[C@H]6[C@@H]([C@@H]([C@H]([C@@H](O6)CO)O)O)O)Cl)[C@@H](C(=O)N3)NC(=O)[C@H]7C8=CC(=C(C(=C8)OC9=C(C=C2C=C9Cl)Cl)O[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)CO)O)O)O)OC1=C(C=C(C=C1)[C@H]([C@@H]1C(=O)N[C@H](C2=CC(=CC(=C2Cl)O)OC2=C(C=CC(=C2)[C@H](C(=O)N1)NC)O)C(=O)N7)O)Cl)O)O)C(=O)O)C(=O)O)O)O
NPA020657	CC(C)CCCCCC(=O)N[C@@H]1[C@@H]([C@H]([C@@H](O[C@H]1O[C@H]2[C@H]3C(=O)N[C@@H](C4=CC(=CC(=C4C5=CC(=CC(=C5O[C@@H]6[C@@H]([C@@H]([C@H]([C@H](O6)CO)O)O)O)Cl)[C@H](C(=O)N3)NC(=O)[C@@H]7C8=CC(=C(C(=C8)OC9=C(C=C2C=C9Cl)Cl)O[C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)CO)O)O)O)OC1=C(C=C(C=C1)[C@H]([C@H]1C(=O)N[C@@H](C2=CC(=CC(=C2Cl)O)OC2=C(C=CC(=C2)[C@@H](C(=O)N1)NC)O)C(=O)N7)O)Cl)O)O)C(=O)O)C(=O)O)O)O
NPA020658	C/C=C/C=C/C(=O)C[C@H](CCO)O
